ID,order,heading,maintext,image,backvalue,nextvalue,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (",""")",", ",""",",""", """,", """
2,2,Smile!,First off force yourself to physically smile for a minute,smile.png,1,3,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (2, ""Smile!"", ""First off force yourself to physically smile for a minute"", ""smile.png"", ""1"", ""3"")",,,,,
3,1,Let's Fix My Shitty Mood!,Not feeling so great? This should help! Please note I wrote this as advice for myself but it might help you too if you have a sense of humour.,welcome.png,NULL,2,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (1, ""Let's Fix My Shitty Mood!"", ""Not feeling so great? This should help! Please note I wrote this as advice for myself but it might help you too if you have a sense of humour."", ""welcome.png"", ""NULL"", ""2"")",,,,,
4,3,Seriously!,I mean it! Smile right now or else!,stab.png,2,4,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (3, ""Seriously!"", ""I mean it! Smile right now or else!"", ""stab.png"", ""2"", ""4"")",,,,,
5,111,Go for a walk,Preferably walk in a natural setting (slowly knowing you). A mountain hike would be perfect. A swim at the beach is also fine. Whatever you do get out of the house and exercise.,NULL,110,112,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (111, ""Go for a walk"", ""Preferably walk in a natural setting (slowly knowing you). A mountain hike would be perfect. A swim at the beach is also fine. Whatever you do get out of the house and exercise."", ""NULL"", ""110"", ""112"")",,,,,
6,112,Time to talk,"If you have someone call a family member or friend and ask if they are ok talking. Start with what has happened. You aren't looking for advice, just catharsis.",NULL,111,113,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (112, ""Time to talk"", ""If you have someone call a family member or friend and ask if they are ok talking. Start with what has happened. You aren't looking for advice, just catharsis."", ""NULL"", ""111"", ""113"")",,,,,
7,113,Music makes everything better,Make a playlist of your favourite songs (*cough* no love songs) and rock on. Add to exercise for bonus points.,NULL,112,114,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (113, ""Music makes everything better"", ""Make a playlist of your favourite songs (*cough* no love songs) and rock on. Add to exercise for bonus points."", ""NULL"", ""112"", ""114"")",,,,,
8,114,"The king is dead, long live the king",It's time to get back in the saddle. Get some dating apps or call that friend that you know is a sure thing. Nothing serious at this stage is important.,NULL,113,115,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (114, ""The king is dead, long live the king"", ""It's time to get back in the saddle. Get some dating apps or call that friend that you know is a sure thing. Nothing serious at this stage is important."", ""NULL"", ""113"", ""115"")",,,,,
9,115,Life Affirmation!,Being single is an awesome time to do all those things you've been putting off. Look at travel! Do something adventurous! Go party! Avoid depressant drugs like alcohol though.,NULL,114,116,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (115, ""Life Affirmation!"", ""Being single is an awesome time to do all those things you've been putting off. Look at travel! Do something adventurous! Go party! Avoid depressant drugs like alcohol though."", ""NULL"", ""114"", ""116"")",,,,,
10,116,Alone is honestly great,Don't just jump straight back into a relationship. People use them like emotional crutches. After a breakup you are effectively going through chemical withdrawal - fight through and spend at least three months single and solo. Otherwise you'll go from broken relationship to broken relationship.,NULL,115,117,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (116, ""Alone is honestly great"", ""Don't just jump straight back into a relationship. People use them like emotional crutches. After a breakup you are effectively going through chemical withdrawal - fight through and spend at least three months single and solo. Otherwise you'll go from broken relationship to broken relationship."", ""NULL"", ""115"", ""117"")",,,,,
11,117,Clean,"Yep, clean your disgusting, chocolate and icecream bucket strew space completely. Sort one part of your life you can control. Make it sparkle and maybe fix up a few things too to make it nicer.",NULL,116,118,,"INSERT INTO FIX (order, heading, maintext, image, backvalue, nextvalue) VALUES (117, ""Clean"", ""Yep, clean your disgusting, chocolate and icecream bucket strew space completely. Sort one part of your life you can control. Make it sparkle and maybe fix up a few things too to make it nicer."", ""NULL"", ""116"", ""118"")",,,,,
